id,vote_event_id,option,voter_name,voter_id,note
155903d6-668b-423b-8b63-2c60d6872b49,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Gerald W.R. Ward,ocd-person/03774445-16e9-4857-8015-317a3d8705a3,
1061e724-fa00-4442-9c70-815a0ab376f7,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Mary Heath,ocd-person/03bba97f-9b7c-4c33-adb7-e5202a6bd040,
32a4ef04-627c-473b-9340-87227e2954d2,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Latha D. Mangipudi,ocd-person/4f71f9e1-ce78-46d3-9665-00dd404a0f1b,
3284b588-e3be-4a3c-a99e-3306e1c5c35b,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Keith Michael Ammon,ocd-person/c975be5b-c686-4489-92d2-5b8ba36f9974,
26c4433a-4ea2-450b-94f4-3445e19d54b8,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Lino M. Avellani,ocd-person/4d68b7bf-e7fb-4c6d-ac12-526aba53e65e,
0ad8b8f6-dc35-43eb-bb2e-1bb804cc2641,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Fred G. Doucette,ocd-person/db4ec0a8-f70c-4510-ae01-c9050646a503,
e976da2b-7f6b-4606-85a5-1f62d1549b44,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Russell Dumais,ocd-person/9aae937c-2a6d-4654-a18e-d76e1b379e51,
df80dc21-92d6-450a-8ae4-ee2d3396915b,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Thomas L. Kaczynski,ocd-person/21a4a059-a8f3-4ec9-ac42-84983f16fb8d,
549a81c9-6b96-4e42-b927-dc10878ccbe2,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Mark McLean,ocd-person/b089786f-4435-4822-a7d6-3725cca787bf,
3d9da0b5-dd27-48df-8bc9-9fca1f5af3f0,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Jason M. Osborne,ocd-person/6e2bc564-5cd1-4f96-a265-4753b7f12ee1,
17746e0d-6e16-40d4-8dc5-5be096851208,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,John M. Potucek,ocd-person/433c67d6-bfdc-410e-87e2-463c93d55a17,
cbf5056a-c3d8-4373-ad3e-99442f103b1d,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Katherine J. Prudhomme-O'Brien,ocd-person/a0a8c9d8-1f27-4d28-a249-8a5856ea5c05,
8756c0a1-5111-4025-ab77-a811c06d0958,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,James A. Spillane,ocd-person/2520dc46-648c-44d0-ba1f-fe09b17a9d8b,
7a72c8be-23ce-49d2-a607-69c931d06afa,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Douglas W. Thomas,ocd-person/5db11498-80a8-4136-9c50-2c7f1a2f6826,
d8ebe5a8-1b90-43cb-ae5d-82c294978a0b,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Chris True,ocd-person/9debae73-c678-420c-a515-c7381e304d1c,
5838ad0f-cab3-43fa-b61f-31f8c75e68ee,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,other,Len P. Turcotte,ocd-person/b5f897f3-cce8-43b0-a130-f98d0d88da8e,
f09b9ebc-7a08-4698-a604-4bc533f6f15f,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,other,Peter R. Varney,ocd-person/b4735fd9-309f-40b0-a554-c646dde34fc1,
25fdd25c-1614-4653-9aaf-5041d0e7807d,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Michael Vose,ocd-person/1aa8819a-e1bd-4569-93ec-305ad61e8ea4,
d20f6c0e-9e23-4965-8e41-c038cd71f7ae,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Michael D. Abbott,ocd-person/5aae4f7b-a7b5-467d-8b16-c566da38f624,
de2a2ce5-eac2-45c0-b356-0b4c8a2c680e,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Amanda C. Bouldin,ocd-person/7ad034dd-b6f2-4314-94d9-cffce7144e5d,
9ae6364f-49c4-455d-bd4c-1bf29b8a2f08,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Patricia Cornell,ocd-person/e657ef2c-bfc3-4a08-99fe-4456be3bfe2a,
6b15e48b-08d0-4a0a-b77b-2b9d23e8107d,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,other,Mary C. Freitas,ocd-person/6723b20c-eb92-4b4b-8db7-5cf0e06d0c5f,
1f4e6e83-4535-46e6-9779-4832ea41308d,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Linda R. Gould,ocd-person/40ae4adb-2124-47ca-82b5-9eee794af4a2,
